movie_name,year,daily_bo1,theaters_count1,gross_change1,daily_bo2,theaters_count2,gross_change2,daily_bo3,theaters_count3,gross_change3,daily_bo4,theaters_count4,gross_change4,daily_bo5,theaters_count5,gross_change5,daily_bo6,theaters_count6,gross_change6,daily_bo7,theaters_count7,gross_change7,daily_bo8,theaters_count8,gross_change8,daily_bo9,theaters_count9,gross_change9,daily_bo10,theaters_count10,gross_change10,daily_bo11,theaters_count11,gross_change11,daily_bo12,theaters_count12,gross_change12,daily_bo13,theaters_count13,gross_change13,daily_bo14,theaters_count14,gross_change14,daily_bo15,theaters_count15,gross_change15,daily_bo16,theaters_count16,gross_change16,daily_bo17,theaters_count17,gross_change17,daily_bo18,theaters_count18,gross_change18,daily_bo19,theaters_count19,gross_change19,daily_bo20,theaters_count20,gross_change20,daily_bo21,theaters_count21,gross_change21,daily_bo22,theaters_count22,gross_change22,daily_bo23,theaters_count23,gross_change23,daily_bo24,theaters_count24,gross_change24,daily_bo25,theaters_count25,gross_change25,daily_bo26,theaters_count26,gross_change26,daily_bo27,theaters_count27,gross_change27,daily_bo28,theaters_count28,gross_change28,daily_bo29,theaters_count29,gross_change29,daily_bo30,theaters_count30,gross_change30
Halloween,2018,33083030,3928,0,27081225,3928,-18.1,16057290,3928,-40.7,4644210,3928,-71.1,6347465,3928,36.7,3679080,3928,-42.0,3764100,3928,2.3,9895460,3990,162.9,13588795,3990,37.3,7934815,3990,-41.6,2471040,3990,-68.9,3791900,3990,53.5,5547305,3990,46.3,1507990,3990,-72.8,3466565,3775,129.9,4840305,3775,39.6,2523995,3775,-47.9,718595,3775,-71.5,986260,3775,37.2,560030,3775,-43.2,480390,3775,-14.2,1150260,2717,139.4,1764945,2717,53.4,1083680,2717,-38.6,462145,2717,-57.4,325080,2717,-29.7,216570,2717,-33.4,123615,2717,-42.9,194690,922,57.5,325095,922,67.0
The Meg,2018,16604015,4118,0,16277249,4118,-2.0,12520931,4118,-23.1,4552992,4118,-63.6,6036127,4118,32.6,3411043,4118,-43.5,3206705,4118,-6.0,5791027,4118,80.6,8975055,4118,55.0,6384930,4118,-28.9,2183364,4118,-65.8,2943477,4118,34.8,1915288,4118,-34.9,1468443,4118,-23.3,3301396,4031,124.8,5724960,4031,73.4,3786259,4031,-33.9,1214428,4031,-67.9,1635382,4031,34.7,1131884,4031,-30.8,921461,4031,-18.6,2337310,3761,153.7,4010693,3761,71.6,4187456,3761,4.4,3281008,3761,-21.6,832765,3761,-74.6,496718,3761,-40.4,410408,3761,-17.4,1383161,3511,237.0,3046057,3511,120.2
Ocean's Eight,2018,15523247,4145,0,14888802,4145,-4.1,11195329,4145,-24.8,4377160,4145,-60.9,6157129,4145,40.7,4196035,4145,-31.9,3282468,4145,-21.8,5932830,4145,80.7,7340940,4145,23.7,5694414,4145,-22.4,2421036,4145,-57.5,3353144,4145,38.5,2365296,4145,-29.5,2007930,4145,-15.1,3470001,3656,72.8,4819040,3656,38.9,3257421,3656,-32.4,1383507,3656,-57.5,2001357,3656,44.7,1533204,3656,-23.4,1471891,3656,-4.0,2424547,3426,64.7,3293865,3426,35.9,2614249,3426,-20.6,1374089,3426,-47.4,1828119,3426,33.0,2093164,3426,14.5,1166014,3426,-44.3,1671331,2604,43.3,2001153,2604,19.7
Ready Player One,2018,11946275,4234,0,15004052,4234,25.6,15601179,4234,4.0,11158819,4234,-28.5,5241464,4234,-53.0,5392511,4234,2.9,4002387,4234,-25.8,3513838,4234,-12.2,6788910,4234,93.2,11053393,4234,62.8,6781875,4234,-38.6,1658365,4234,-75.5,2347283,4234,41.5,1552689,4234,-33.9,1359758,4234,-12.4,2972831,3661,118.6,4933146,3661,65.9,3613411,3661,-26.8,955760,3661,-73.5,1127935,3661,18.0,830842,3661,-26.3,844603,3661,1.7,1938141,3208,129.5,3370380,3208,73.9,2110217,3208,-37.4,548377,3208,-74.0,727445,3208,32.7,542295,3208,-25.5,330037,3208,-39.1,646246,2365,95.8
Bumblebee,2018,8501129,3550,0,7015295,3550,-17.5,6137623,3550,-12.5,3711838,3550,-39.5,8887978,3550,139.4,6271095,3550,-29.4,5753062,3550,-8.3,6800661,3550,18.2,7502014,3550,10.3,6603471,3550,-12.0,4241953,3550,-35.8,7193973,3550,69.6,3076011,3550,-57.2,2657037,3550,-13.6,3968441,3597,49.4,5533410,3597,39.4,3700752,3597,-33.1,1051060,3597,-71.6,1525627,3597,45.2,820134,3597,-46.2,742413,3597,-9.5,1766208,3303,137.9,3241236,3303,83.5,2200954,3303,-32.1,517275,3303,-76.5,906051,3303,75.2,506489,3303,-44.1,450486,3303,-11.1,1111160,2711,146.7,2091264,2711,88.2
Mamma Mia! Here We Go Again,2018,14286815,3317,0,10937980,3317,-23.4,9727385,3317,-11.1,4906510,3317,-49.6,6742430,3317,37.4,4865225,3317,-27.8,3958180,3317,-18.6,4784820,3514,20.9,5635360,3514,17.8,4679915,3514,-17.0,2602225,3514,-44.4,3866650,3514,48.6,2863700,3514,-25.9,2387355,3514,-16.6,2821190,3359,18.2,3476580,3359,23.2,2705260,3359,-22.2,1569460,3359,-42.0,2159475,3359,37.6,1623630,3359,-24.8,1409055,3359,-13.2,1721960,2812,22.2,2341980,2812,36.0,1797775,2812,-23.2,992585,2812,-44.8,1335450,2812,34.5,840915,2812,-37.0,777625,2812,-7.5,1020765,2270,31.3,1358980,2270,33.1
The Nun,2018,22082173,3876,0,19788796,3876,-10.4,11936410,3876,-39.7,3524525,3876,-70.5,4818789,3876,36.7,2518075,3876,-47.7,2207557,3876,-12.3,5904289,3876,167.5,7658704,3876,29.7,4675270,3876,-39.0,1308476,3876,-72.0,1939243,3876,48.2,1224165,3876,-36.9,1058835,3876,-13.5,2975159,3707,181.0,4541197,3707,52.6,2449279,3707,-46.1,706093,3707,-71.2,1036732,3707,46.8,647211,3707,-37.6,582070,3707,-10.1,1608895,3331,176.4,2471805,3331,53.6,1348175,3331,-45.5,428490,3331,-68.2,571322,3331,33.3,403668,3331,-29.3,341907,3331,-15.3,776224,2264,127.0,1147398,2264,47.8
Creed II,2018,11576440,3359,0,8855857,3359,-23.5,14131561,3441,59.6,13665179,3441,-3.3,7777970,3441,-43.1,2105623,3441,-72.9,2882115,3441,36.9,1702204,3441,-40.9,1639335,3441,-3.7,4926816,3576,200.5,7367926,3576,49.5,4344306,3576,-41.0,1099606,3576,-74.7,1789976,3576,62.8,1176849,3576,-34.3,1107634,3576,-5.9,2825136,3752,155.1,4654010,3752,64.7,2496021,3752,-46.4,764628,3752,-69.4,1183906,3752,54.8,731845,3752,-38.2,679203,3752,-7.2,1511029,3107,122.5,2422875,3107,60.3,1452010,3107,-40.1,543981,3107,-62.5,795821,3107,46.3,553426,3107,-30.5,423329,3107,-23.5
Peter Rabbit,2018,5710360,3725,0,11237853,3725,96.8,8062715,3725,-28.3,1470482,3725,-81.8,1528665,3725,4.0,1885533,3725,23.3,1076934,3725,-42.9,4070866,3725,278.0,7288503,3725,79.0,6146838,3725,-15.7,5876724,3725,-4.4,1886647,3725,-67.9,1187745,3725,-37.0,1315837,3725,10.8,2845620,3707,116.3,5776043,3707,103.0,4138719,3707,-28.3,564509,3707,-86.4,840095,3707,48.8,562573,3707,-33.0,587115,3707,4.4,2091994,3607,256.3,4732564,3607,126.2,3180619,3607,-32.8,562562,3607,-82.3,828472,3607,47.3,580681,3607,-29.9,620538,3607,6.9,1489016,3112,140.0,3128523,3112,110.1
The Mule,2018,5848645,2588,0,6896557,2588,17.9,4764229,2588,-30.9,1858027,2588,-61.0,2801209,2588,50.8,1772790,2588,-36.7,1762008,2588,-0.6,2762635,2656,56.8,3636733,2656,31.6,3101617,2656,-14.7,2223077,2656,-28.3,4886234,2685,119.8,3511191,2685,-28.1,3122233,2685,-11.1,3956488,2787,26.7,4339485,2787,9.7,3866051,2787,-10.9,3611125,2787,-6.6,4066149,2787,12.6,1737073,2787,-57.3,1544554,2787,-11.1,2858074,3212,85.0,3866516,3212,35.3,2385103,3212,-38.3,754840,3212,-68.4,1341118,3212,77.7,907242,3212,-32.4,852393,3212,-6.0,1734068,3329,103.4,2383118,3329,37.4
